 url,relevance,start_year,end_year,policy_name,local_government,state,code,excluded,number,declared
https://cdn.holdfast.sa.gov.au/general-downloads/Council/Environment-Strategy-2020-2025-web-FINAL.pdf,1,2020,2025,ENVIRONMENT STRATEGY,City of Holdfast Bay,SA,HoldfastBay,,74,08/10/19
https://cdn.marion.sa.gov.au/sp/City-of-Marion-Carbon-Neutral-Plan_2021-02-16-222138.pdf,1,2020,2030,CARBON NEUTRAL PLAN,City of Marion,SA,Marion,,75,
https://cdn.marion.sa.gov.au/sp/Climate-Change-Adaptation-Governance-Assessment-Report-for-Marion.pdf,1,2019,,SOUTH AUSTRALIA PILOT CLIMATE CHANGE ADAPTATION GOVERNANCE ASSESSMENT,City of Marion,SA,Marion,,76,
https://cdn.marion.sa.gov.au/sp/Documents-Policies/Climate-Change-Policy.pdf?mtime=20180309102449,1,2016,,Climate Change Policy,City of Marion,SA,Marion,,77,
https://cdn.marion.sa.gov.au/sp/City-of-Marion-Coastal-Climate-Change-Adaptation-Study-2018.pdf,1,2018,,Coastal Climate Change Adaptation Study,City of Marion,SA,Marion,,78,
https://www.mitchamcouncil.sa.gov.au/__data/assets/pdf_file/0027/811566/Attachment-A-Summary-of-Greenhouse-Gas-Emission-Reduction-Achievements-003.pdf,1,2020,,CLIMATE CHANGE EMERGENCY RESPONSE.,City of Mitcham,SA,Mitcham,,79,22/10/19
https://www.npsp.sa.gov.au/files/3895_npsp_ccad_report2011.pdf?v=608,1,2011,,Climate Change Adaptation Report,City of Norwood Payneham and St Peters ,SA,Norwood,,80,
https://www.cityofpae.sa.gov.au/__data/assets/pdf_file/0018/412074/Energy-and-Water-Efficiency-Management-Plan.pdf,1,2017,2022,ENERGY AND WATER EFFIECIENCY MANAGEMENT PLAN,City of Port Adelaide Enfield,SA,PortAdelaide,,81,08/10/19
https://www.salisbury.sa.gov.au/assets/files/assets/public/general_documents/live/environment_and_sustainability/sustaining_our_environment_online_version_1.pdf,1,2008,,SALISBURY ENVIRONMENTAL AND CLIMATE CHANGE STRATEGY,City of Salisbury,SA,Salisbury,,82,28/10/19
https://www.unley.sa.gov.au/files/assets/public/council/about-the-council/city-of-unley-climate-and-energy-plan.pdf,1,2021,2023,Climate & Energy Plan Our path to carbon neutral  operations by 2023,City of Unley,SA,Unley,,83,
https://www.unley.sa.gov.au/files/assets/public/council/about-the-council/city-of-unley-environmental-sustainability-strategy-2016-2020.pdf,1,2016,2020,Environmental Sustainability Strategy,City of Unley,SA,Unley,,84,
https://www.unley.sa.gov.au/files/assets/public/environment-hub/draft-climate-energy-plan-for-consultation.pdf,1,2021,2030,DRAFT Climate & Energy Plan,City of Unley,SA,Unley,,85,
https://www.victor.sa.gov.au/__data/assets/pdf_file/0034/1069279/Climate-Agenda-2030_FINAL.pdf,1,2020,2030,Climate Agenda 2030,City of Victor Habor,SA,City ,deleted,86,
https://www.westtorrens.sa.gov.au/files/sharedassets/public/objective-digitalpublications/external-website/publications/climate-mitigation-and-adaptation-initiatives-in-the-city-of-west-torrens-summary-table.pdf,1,,,General Climate Change Initiatives,City of West Torrens,SA,WestTorrens,,87,
